id,audio_path,language,audio_type,category,source,source_id,source_url,question,option_A,option_B,option_C,option_D,answer,answer_text,duration_seconds,tts_model,sha256
Q001,audio/main_language/human/Q001.wav,zh,human,fact_knowledge,ODSQA,1151-1-3,https://github.com/Chia-Hsuan-Lee/ODSQA,溫網和法網都是比什麼運動的比賽？,網球,羽毛球,乒乓球,排球,A,網球,4.275,,0c60a1c0c154e938857ae5b12acc1cdc3bfbf3afab8f484dcfdb0c29690f4340
Q002,audio/main_language/human/Q002.wav,zh,human,fact_knowledge,ODSQA,1151-12-1,https://github.com/Chia-Hsuan-Lee/ODSQA,誰在網球比賽中擁有最終仲裁權？,球童,主裁判,線審,教練,B,主裁判,3.915,,089ea603a26d61b5fde681f1067ef6c8f8d430c5e036d5ea0cb1619087328703
Q003,audio/main_language/human/Q003.wav,zh,human,fact_knowledge,ODSQA,1151-12-2,https://github.com/Chia-Hsuan-Lee/ODSQA,負責將毛巾遞給球員是網球比賽中誰的職責？,主裁判,教練,球童,線審,C,球童,4.935,,c52c428fbfe76be5cb1a94c215d1e6af2d2a48040d5ac41a345bbfeab70ca0a5
Q004,audio/main_language/human/Q004.wav,zh,human,fact_knowledge,ODSQA,1179-18-1,https://github.com/Chia-Hsuan-Lee/ODSQA,發芽米可以算是哪一種米？,白米,糯米,黑米,糙米,D,糙米,2.985,,40a21eeabba630f8161ee17150fe16408327123cbabb83e0b8e0ba81414e0992
Q005,audio/main_language/human/Q005.wav,zh,human,fact_knowledge,ODSQA,1180-44-2,https://github.com/Chia-Hsuan-Lee/ODSQA,恆星的哪一部分是觀測者可見的？,光球層,核心,輻射層,對流層,A,光球層,3.705,,44b302824a1465b553aa004ff970bd1e933724606494fa2cdf1d9428820c307d
Q006,audio/main_language/human/Q006.wav,zh,human,fact_knowledge,ODSQA,1181-4-3,https://github.com/Chia-Hsuan-Lee/ODSQA,盤古大陸在何時開始分裂？,三疊紀,侏羅紀,白堊紀,古近紀,B,侏羅紀,2.985,,70f81b08a5bb1da60dc824f935b0627f691fdfcd15bf56054ca70fbc460cf70a
Q007,audio/main_language/human/Q007.wav,zh,human,fact_knowledge,ODSQA,2514-1-1,https://github.com/Chia-Hsuan-Lee/ODSQA,自行車、自由車、鐵馬以及什麼都是腳踏車的別稱?,機車,馬車,單車,火車,C,單車,6.903,,1237eda477f40d499ebd08310f2fd17abea699aa52b918daea26a3f076f126fd
Q008,audio/main_language/human/Q008.wav,zh,human,fact_knowledge,ODSQA,3241-3-1,https://github.com/Chia-Hsuan-Lee/ODSQA,著名的在風雨中放風箏的實驗，是誰做的?,牛頓,愛因斯坦,法拉第,富蘭克林,D,富蘭克林,7.296,,6afaec5c37f9f30ae793aaab63c2609d2307465c238c5ed842376a8591263a16
Q009,audio/main_language/human/Q009.wav,zh,human,fact_knowledge,ODSQA,3241-6-4,https://github.com/Chia-Hsuan-Lee/ODSQA,電的傳輸相當不容易，直到十九世紀什麼東西發明後，才有中央電廠的出現?,變壓器,指南針,蒸汽機,望遠鏡,A,變壓器,10.080,,b8ef42efc1226873b6d3a144d5f55e9bd5566471e7a623e3f2a4d591c5216422
Q010,audio/main_language/human/Q010.wav,zh,human,fact_knowledge,ODSQA,3299-1-4,https://github.com/Chia-Hsuan-Lee/ODSQA,萬里長城已有2000多年歷史，中國歷朝中以秦、漢還有哪一時期有大規模修築?,宋朝,明朝,元朝,唐朝,B,明朝,11.232,,1c7394d8c8d3d7d66e2420b25e234a8ca8e0cfaca5711db275b309ddd6c2b38f
Q011,audio/main_language/human/Q011.wav,zh,human,fact_knowledge,ODSQA,3299-4-1,https://github.com/Chia-Hsuan-Lee/ODSQA,隋朝時期修築的長城最主要是要防止哪一外族?,匈奴,蒙古,突厥,契丹,C,突厥,7.488,,13160d50fcca79aa4a35d021e4389e519be66278eb9dd53e3f79e7ebfc27e379
Q012,audio/main_language/human/Q012.wav,zh,human,fact_knowledge,ODSQA,3299-7-1,https://github.com/Chia-Hsuan-Lee/ODSQA,長城體系中設置有大量烽燧作為情報傳遞系統，也就是用什麼方式傳遞重要消息的高台?,敲鐘,放飛信鴿,擊鼓,點燃煙火,D,點燃煙火,11.040,,aa6e83c1d50c3123874ddfc3efdeeab736d0362779fbdafdbfe0400547c2c3a0
Q013,audio/main_language/human/Q013.wav,zh,human,fact_knowledge,ODSQA,5661-8-1,https://github.com/Chia-Hsuan-Lee/ODSQA,咖啡因會在人體內的哪一個器官中進行代謝?,肝臟,肺臟,心臟,胃,A,肝臟,4.425,,0f70625a4c40a99b71732cc8ea86fcf46ea6259ec5913ab6b79437d4fdb89f47
Q014,audio/main_language/human/Q014.wav,zh,human,fact_knowledge,ODSQA,5677-2-1,https://github.com/Chia-Hsuan-Lee/ODSQA,雷暴發生時會製造大量的冰晶或者是?,火山灰,雨水,沙塵,花粉,B,雨水,3.525,,ef34a83ab2b3baee3f5a2e6f69c7fa3d3061e17461737591e314d0559907a5f0
